0.28	0.027
0.29	0.051
0.30	0.082
0.31	0.120
0.32	0.171
0.34	0.321
0.36	0.563
0.38	0.921
0.40	1.41
0.42	2.05
0.44	2.83
0.46	3.74
0.48	4.76
0.50	5.87
0.52 	7.04
0.56	9.48
0.60	11.89
0.64	14.14
0.68	16.15
0.72	17.89
0.76	19.34
0.80	20.53
0.84	21.51
0.88	22.33
0.92	23.03
0.96	23.81
1.00	24.39
1.04	24.89
1.08	25.30
1.12	25.66
1.16	25.95
1.20	26.21
1.24	26.42
1.28	26.59
1.32	26.74
1.36	26.86
1.40	26.96
1.44	27.04
1.48	27.11
1.52	27.17
1.56	27.21
1.64	27.28
1.68	27.30
1.72	27.32
1.76	27.33
1.80	27.34
1.84	27.35
1.88	27.36
1.92	27.36
1.96	27.36
2.00	27.36
2.10	27.37
2.20	27.37
2.30	27.38
2.40	27.38
2.50	27.40
2.60	27.41
2.70	27.43
2.80	27.46
2.90	27.49
3.0	27.52
4.0	27.97
5.0	28.48
6.0	28.92
7.0	29.28
8.0	29.55
9.0	29.75
10.0	29.89
12.0	30.04
14.0	30.10
16.0	30.09
18.0	30.05
20.0	30.00
25.0	29.88
30.0	29.80
40.0	29.78
50.0	29.91
60.0	30.13
70.0	30.38
80.0	30.66
90.0	30.93
100.0	31.19
125.0	31.78
150.0	32.23
175.0	32.56
200.0	32.79
225.0	32.92
250.0	32.97
275.0	32.96
300.0	32.89
325.0	32.78
350.0	32.63
375.0	32.44
400.0	32.24
425.0	32.01

